"Timestamp","What is your cat's name?","What are your cat's weird behaviors? Check all that apply.","What size is your cat?","What is your cat's sex?","How old is your cat?","Which of these best describes your cat?","What kind of fur does your cat have?"
"2017/03/03 12:59:37 PM PST","Hunter","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Stares intensely at the wall","Lorge","Male","10+ years","Indoors only","Long"
"2017/03/03 12:59:42 PM PST","Furiosa","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves computer keyboards;Stands on hind legs","","Female","1-2 years","Indoors only","Short"
"2017/03/03 1:00:08 PM PST","Missie","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","THICC","Female","10+ years","Indoors only","Short"
"2017/03/03 1:00:42 PM PST","Lilah","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Attacks toes;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","smol","Female","5-10 years","Indoors only","Short"
"2017/03/03 1:00:51 PM PST","Jubilee","Kneads / makes muffins / makes biscuits;Rubs self on corners;Sleeps or sits in contorted positions;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","smol","Female","1-2 years","Indoors + backyard","Short"
"2017/03/03 1:01:19 PM PST","Cleo","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Sprints suddenly and without reason;Deliberately knocks things over;Drinks from faucet","Medium","Female","5-10 years","Indoors + backyard","Long"
"2017/03/03 1:01:24 PM PST","Lola","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:01:34 PM PST","Ksi (Casey)","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed","Medium","Female","10+ years","Indoors + roams free outdoors","Long"
"2017/03/03 1:02:01 PM PST","Harvey","Rubs self on corners;Sleeps or sits in contorted positions;Attacks toes;Freaks out about food even when there is plenty in bowl;Stands on hind legs","THICC","Male","2-5 years","Indoors only","Short"
"2017/03/03 1:02:31 PM PST","Beatrix","Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason","smol","Female","5-10 years","Indoors only","Short"
"2017/03/03 1:02:35 PM PST","ZoeCat","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Prefers men;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:02:46 PM PST","Charlie","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Drools when happy;Sprints suddenly and without reason;Prefers men;Attacks toes;Deliberately knocks things over;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Medium","Male","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:02:53 PM PST","Rudy","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","smol","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:03:31 PM PST","Zero","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","5-10 years","Indoors only","Short"
"2017/03/03 1:03:35 PM PST","Mocha","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Sprints suddenly and without reason;Hides under sheets when making bed;Drinks from faucet","smol","Female","6-12 months","Indoors + backyard","Long"
"2017/03/03 1:03:44 PM PST","Xena","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Loves computer keyboards","smol","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:04:10 PM PST","Reuben ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","1-2 years","Indoors only","Short"
"2017/03/03 1:04:39 PM PST","Train","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Attacks toes;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Medium","Male","6-12 months","Indoors + roams free outdoors","Short"
"2017/03/03 1:05:05 PM PST","Tibits","Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves specific, non-meat foods (e.g. crackers, bananas);Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Stands on hind legs","Medium","Male","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:05:23 PM PST","Gigi ","Kneads / makes muffins / makes biscuits;Sprints suddenly and without reason;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Freaks out about food even when there is plenty in bowl","smol","Female","5-10 years","Indoors only","Short"
"2017/03/03 1:05:31 PM PST","Elphaba","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Medium","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:05:31 PM PST","Russell","Kneads / makes muffins / makes biscuits;Rubs self on corners;Sprints suddenly and without reason;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Lorge","Male","6-12 months","Indoors only","Long"
"2017/03/03 1:05:47 PM PST","Peludón","Paws at closed doors;Sets belly rub traps;Rubs self on corners","Medium","Male","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:05:52 PM PST","Baby","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Hides under sheets when making bed;Attacks toes;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors only","Long"
"2017/03/03 1:05:58 PM PST","Shadowfax","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Stands on hind legs","Medium","Male","10+ years","Indoors only","Long"
"2017/03/03 1:06:08 PM PST","Casper","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Attacks toes;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","smol","Male","0-6 months","Indoors + roams free outdoors","Short"
"2017/03/03 1:06:09 PM PST","Martha","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Loves computer keyboards","smol","Female","6-12 months","Indoors + roams free outdoors","Short"
"2017/03/03 1:06:16 PM PST","Ranger","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Attacks toes;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","THICC","Male","10+ years","Indoors only","Long"
"2017/03/03 1:06:17 PM PST","Madame Maxime","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Drools when happy;Sprints suddenly and without reason;Freaks out about food even when there is plenty in bowl","Medium","Female","10+ years","Indoors only","Long"
"2017/03/03 1:06:19 PM PST","Abbey","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Freaks out about food even when there is plenty in bowl","THICC","Female","5-10 years","Indoors only","Long"
"2017/03/03 1:06:23 PM PST","Negrita","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:06:44 PM PST","Greta","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Sleeps or sits in contorted positions;Sprints suddenly and without reason","smol","Female","1-2 years","Indoors only","Short"
"2017/03/03 1:07:09 PM PST","Katrine Hepburn","Paws at closed doors;Sets belly rub traps;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Drinks from faucet","THICC","Female","5-10 years","Indoors only","Long"
"2017/03/03 1:07:16 PM PST","Babycat","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Drools when happy;Sprints suddenly and without reason;Loves computer keyboards","smol","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:07:24 PM PST","","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Stares intensely at the wall","Medium","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:07:29 PM PST","Jasper","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves specific, non-meat foods (e.g. crackers, bananas);Prefers men;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","smol","Male","5-10 years","Indoors only","Short"
"2017/03/03 1:07:32 PM PST","Frankie","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Attacks toes","THICC","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:07:39 PM PST","Winston","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Attacks toes;Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","1-2 years","Indoors only","Long"
"2017/03/03 1:07:57 PM PST","Izzy","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Hides under sheets when making bed;Deliberately knocks things over;Loves computer keyboards","Medium","Male","5-10 years","Indoors only","Short"
"2017/03/03 1:08:00 PM PST","Jinx Field","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Deliberately knocks things over;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","1-2 years","Indoors + backyard","Long"
"2017/03/03 1:08:05 PM PST","Augustus","Paws at closed doors;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Hides under sheets when making bed;Deliberately knocks things over;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","THICC","Male","1-2 years","Indoors only","Short"
"2017/03/03 1:08:13 PM PST","Bela","Kneads / makes muffins / makes biscuits;Rubs self on corners;Sprints suddenly and without reason;Hides under sheets when making bed;Loves computer keyboards","smol","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:08:13 PM PST","Bear","Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors only","Long"
"2017/03/03 1:08:16 PM PST","Little Charlie","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions","Lorge","Male","2-5 years","Indoors only","Short"
"2017/03/03 1:08:42 PM PST","Chicago","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Stares intensely at the wall;Stands on hind legs","Lorge","Male","2-5 years","Indoors only","Long"
"2017/03/03 1:08:43 PM PST","Nero","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors only","Short"
"2017/03/03 1:08:49 PM PST","Clarice","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:08:56 PM PST","Taco","Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Attacks toes;Loves computer keyboards","smol","Male","6-12 months","Indoors only","Short"
"2017/03/03 1:09:04 PM PST","Naomi","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves computer keyboards;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:09:15 PM PST","Bagheera","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Prefers men;Attacks toes;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","Medium","Female","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:09:21 PM PST","Ivy","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Hides under sheets when making bed;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Stands on hind legs","smol","Female","2-5 years","Indoors only","Long"
"2017/03/03 1:09:27 PM PST","Vader","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Drools when happy;Sprints suddenly and without reason;Hides under sheets when making bed;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","smol","Male","1-2 years","Indoors only","Short"
"2017/03/03 1:09:51 PM PST","Willis","Paws at closed doors;Kneads / makes muffins / makes biscuits;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","smol","Male","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:09:57 PM PST","Mäuschen","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards","Medium","Female","5-10 years","Indoors only","Short"
"2017/03/03 1:10:10 PM PST","ozymandias","Paws at closed doors;Sets belly rub traps;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Freaks out about food even when there is plenty in bowl","Medium","Male","10+ years","Indoors + roams free outdoors","Short"
"2017/03/03 1:10:41 PM PST","Sooty","Sleeps or sits in contorted positions;Drinks from faucet","Lorge","Male","5-10 years","Outdoors only","Short"
"2017/03/03 1:10:46 PM PST","Codi","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Freaks out about food even when there is plenty in bowl","Medium","Female","10+ years","Indoors only","Short"
"2017/03/03 1:10:54 PM PST","Misty","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Loves computer keyboards;Freaks out about food even when there is plenty in bowl;Stands on hind legs","THICC","Female","5-10 years","Indoors only","Short"
"2017/03/03 1:10:54 PM PST","Sam","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Freaks out about food even when there is plenty in bowl","Medium","Male","10+ years","Indoors + backyard","Long"
"2017/03/03 1:10:54 PM PST","Teddy","","","","","",""
"2017/03/03 1:10:58 PM PST","","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Freaks out about food even when there is plenty in bowl","Medium","Male","10+ years","Indoors + backyard","Short"
"2017/03/03 1:11:20 PM PST","Louie","Kneads / makes muffins / makes biscuits;Loves boxes;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","THICC","Male","2-5 years","Indoors only","Short"
"2017/03/03 1:11:27 PM PST","Louis","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Hides under sheets when making bed;Attacks toes;Loves computer keyboards;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","smol","Male","6-12 months","Indoors only","Short"
"2017/03/03 1:11:34 PM PST","nala :)","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Loves computer keyboards;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","6-12 months","Indoors + roams free outdoors","Short"
"2017/03/03 1:11:41 PM PST","Teddy","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners","Lorge","Male","5-10 years","Indoors + roams free outdoors","Long"
"2017/03/03 1:11:50 PM PST","Jaspurr ","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet","smol","Male","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:11:52 PM PST","Mishka","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl;Stands on hind legs","smol","Female","5-10 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:12:01 PM PST","Otto","Sets belly rub traps;Loves specific, non-meat foods (e.g. crackers, bananas);Attacks toes;Drinks from faucet","smol","Male","1-2 years","Indoors only","Short"
"2017/03/03 1:12:02 PM PST","Sonny","Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Stares intensely at the wall;Stands on hind legs","Lorge","Male","2-5 years","Indoors only","Short"
"2017/03/03 1:12:17 PM PST","tigerlily :)","Paws at closed doors;Rubs self on corners;Loves boxes;Sprints suddenly and without reason","smol","Female","6-12 months","Indoors + roams free outdoors","Short"
"2017/03/03 1:12:28 PM PST","Bunny","Kneads / makes muffins / makes biscuits;Drinks from faucet","smol","Female","2-5 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:12:45 PM PST","Bubbles","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Loves computer keyboards;Drinks from faucet","THICC","Female","2-5 years","Indoors only","Short"
"2017/03/03 1:12:49 PM PST","Negrita","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Loves boxes;Deliberately knocks things over;Freaks out about food even when there is plenty in bowl","smol","Female","1-2 years","Indoors + roams free outdoors","Short"
"2017/03/03 1:13:15 PM PST","Jumbles","Paws at closed doors;Sets belly rub traps;Rubs self on corners;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Attacks toes;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L)","Medium","Female","2-5 years","Indoors + roams free outdoors","Long"
"2017/03/03 1:13:17 PM PST","max :)","Paws at closed doors;Kneads / makes muffins / makes biscuits;Drools when happy","Lorge","Male","10+ years","Indoors + roams free outdoors","Long"
"2017/03/03 1:13:29 PM PST","Maisie","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed;Prefers men;Attacks toes;Deliberately knocks things over;Loves computer keyboards;Stares intensely at the wall;Drinks from faucet;Stands on hind legs","Medium","Female","1-2 years","Indoors only","Long"
"2017/03/03 1:13:34 PM PST","Belle","Rubs self on corners","smol","Female","10+ years","Indoors only","Short"
"2017/03/03 1:13:52 PM PST","Hades","Paws at closed doors;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Sprints suddenly and without reason;Loves specific, non-meat foods (e.g. crackers, bananas);Deliberately knocks things over;Stares intensely at the wall;Bleps (i.e. http://imgur.com/r/blep/3Eqy83L);Drinks from faucet;Freaks out about food even when there is plenty in bowl","Lorge","Male","2-5 years","Indoors only","Short"
"2017/03/03 1:13:59 PM PST","Bengie","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Drools when happy;Loves specific, non-meat foods (e.g. crackers, bananas);Hides under sheets when making bed","Lorge","Male","5-10 years","Indoors only","Short"
"2017/03/03 1:13:59 PM PST","nemo :)","Kneads / makes muffins / makes biscuits;Sets belly rub traps;Rubs self on corners;Freaks out about food even when there is plenty in bowl","Medium","Male","10+ years","Outdoors only","Short"
"2017/03/03 1:14:10 PM PST","Alexander","Sets belly rub traps;Rubs self on corners;Loves boxes;Sprints suddenly and without reason;Stares intensely at the wall;Freaks out about food even when there is plenty in bowl","smol","Male","2-5 years","Indoors + backyard","Short"
"2017/03/03 1:14:10 PM PST","River","Paws at closed doors;Kneads / makes muffins / makes biscuits;Sets belly rub traps;Sleeps or sits in contorted positions;Drools when happy;Sprints suddenly and without reason;Deliberately knocks things over","Medium","Female","2-5 years","Indoors only","Long"
"2017/03/03 1:14:14 PM PST","Storm","Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Drools when happy;Loves computer keyboards;Freaks out about food even when there is plenty in bowl;Stands on hind legs","Lorge","Male","10+ years","Indoors + roams free outdoors","Short"
"2017/03/03 1:14:29 PM PST","Gonzo","Paws at closed doors;Kneads / makes muffins / makes biscuits;Rubs self on corners;Loves boxes;Sleeps or sits in contorted positions;Hides under sheets when making bed;Prefers men;Freaks out about food even when there is plenty in bowl","Medium","Male","2-5 years","Indoors + roams free outdoors","Short"
